P2_1_B,lemma
"- a los que están prostados """,prostado
"2350	""mejor organización para que sea eficiente la atención",mejor organización eficiente atención
les pagan por persona atendida y atienden a la ligera,persona ligera
"se debería dar medicamentos de mejor calidad no puro paracetamol """,medicamento mejor calidad puro paracetamol
"2351	amiguismo, pitutos, corrupción en los círculos de autoridades, falta de hechos menos palabras. hacer las cosas bien",amiguismo pituto corrupción círculo autoridad falta hecho palabra
"mejorar las pensiones de todos los adultos mayores como parte fundamental de todo para poder mantener una vida digna """,pensión adulto mayor parte fundamental vida digno
"2353	""educación gratuita y de calidad, muy cara",educación gratuito calidad cara
Es la herramienta para mejorar el país,herramienta país
"Beneficios para pocos""",beneficios
"2354	""- hay que estar a las 6:00 para conseguir una hora al medico.",hora médico
- hay solo un doctor para toda la urgencia,doctor urgencia
- falta de profesionales en el área de salud,falta profesional área salud
"- falta de especialidades""",falta especialidad
"2355	institución, organismo, persona que sea validada para ordenar y dar soluciones a las demandas del país.",institución organismo persona solución demanda país
2356	tarifas rebajadas en el transporte público para las personas con discapacidad. necesidad de medios de transporte adaptados y que cumplan con los estándares de accesibilidad universal.,tarifa rebajado transporte público persona discapacidad
"2357	""respuesta con mala letra",respuesta malo letra
-falta  de stock de medicamento,falta stock medicamento
-falta de médicos y especialistas,falta médico especialista
-limitación en atenciones en entrega de,limitación atención entrega
"-tiempo de espera en urgencia""",tiempo espera urgencia
"2358	""- debe llegar a un acuerdo entre todos.",acuerdo
"- si no llegamos a un acuerdo no vamos a avanzar.""",acuerdo
"2359	""- se debe mejorar el acceso a la salud y también la calidad",acceso calidad
- el alto costo de los medicamentos,alto costo medicamento
- las listas de espera,lista espera
"- fin a la salud privada""",fin salud privado
"2360	""- falta de especialistas",falta especialista
"- mejor atención en el hospital de chañaral para no visitar copiapo""",mejor atención hospital chañaral copiapo
"2361	en el amplio sentido de la palabra tanto en lo social como en lo penal sin distinción, para dejar de sentir sensación de impunidad",amplio sentido palabra social penal distinción sensación impunidad
"2362	al modificar el sistema con más aporte del estado, vale decir, cotización mixta, incluyendo aporte solidario, aporte empleador",sistema aporte estado cotización mixto aporte solidario empleador
"2363	""mejorar las jubilaciones.",jubilación
se refiere a que los ingresos de las pensiones los les alcanza para vivir dignamente.,ingreso pensión
"no mas afp y rebaja en el pasaje para el adulto mayor.""",afp rebaja pasaje adulto mayor
"2364	que el estado, a través de las autoridades y funcionarios publicos, establezcan seguridad y tranquilidad para que funcione el país",estado través autoridad funcionario público seguridad tranquilidad país
2365	por la inseguridad que se vive en la calle. los saqueos y robos han aumentado en nuestro entorno. aumentar la dotación de carabineros y reestablecer la confianza. mejorar las leyes.,inseguridad calle
"2366	""faltan especialistas para que la atención sea mas rapida, meses de espera para una hora",especialista atención rapido mes espera hora
"deberian poner mas numeros en regiones """,numero región
"2367	""mejor administración en los recursos adquiridos por los establecimientos educacionales.",mejor administración recurso adquirido establecimiento educacional
bajar horas de jornada educacional.,hora jornada educacional
"mejorar distribución de recursos.""",distribución recurso
"2368	falta de especialistas en la comuna, demora en entregar horas médicas, poca prioridad en atención a adultos mayores",falta especialista demora hora médico prioridad atención adulto mayor
"2369	porque si no contamos con una buena educación desde la primera infancia, seguiremos en la misma situación actual",buen educación primero infancia situación actual
"2370	""salud, educaion, un trato digno, equitativo e igualdad para las personas",salud educaión digno equitativo igualdad persona
cambiar la constitucion por asamblea constituyente,asamblea constituyente
justicia a todo nivel pais,justicia nivel país
confianza de los ciudadanos por un estado protector y justo,confianza ciudadano estado protector justo
"2371	""mejor atención y mas accesible",mejor atención accesible
"priorizar atención de salud las personas que vienen de pueblos del interior """,atención salud persona pueblo interior
"2372	""- Aranceles más bajos",aranceles bajo
"2373	""mucha espera, mas flexibilidad en las horas de atencion media",flexibilidad hora atención medio
"especialistas en los hospitales de los pueblos pequeños""",especialista hospital pueblo pequeño
"2374	""con buen sueldo puedo imponer mas dinero  a las afp",buen sueldo dinero afp
"puedo tener mejor salud mejor educación""",mejor salud mejor educación
2375	nuestra sociedad creía fielmente en los gobernantes pero lamentablemente nos han defraudado ya que fueron elegidos para servir al pueblo y no ha sido así.,sociedad gobernante pueblo
"2376	el agua es necesario que sea del estado de Chile y no de los extranjeros, aprovechada por la agricultura",agua necesario estado extranjero
-volver a educacion integral( valores),educación integral valor
- civica- formativa- acceso(sae),civica formativa acceso
"- calidad- mayores recursos""",calidad mayor recurso
"2378	""- te dejan en el olvido, con el paciente o familiar",olvido paciente familiar
"- no hay atención pata el cuidador, en la parte sicologica, fisica",atención cuidador parte sicológico fisico
"- se necesita cuidados para el cuidador""",cuidado cuidador
2379	educacion gratis de calidad con una base mas solida que nos permita optar a mejores carreras universitarias,educación calidad base solido mejor carrera universitario
"2380	""ampliar para tener una mejor interpretación y certeza jurídica de la misma.",mejor interpretación certeza jurídico
"restringir ciertas atribuciones del presidente de la república, parlamentarios y fuerzas de orden público y armadas del estado.""",atribución presidente parlamentario fuerza orden público armado estado
"2381	""para mejor los policias y que beneficiaria a las personas de el pais y pueblos originarios.",policía persona país pueblo originario
"herederos no tienen titulo ?de sus tierras""",heredero titulo tierra
"2382	Mejorar a sus trabajadores en lugar de la infraestructura, sobretodo para personas de escasos recursos. debería ser gratis y de calidad.",trabajador lugar infraestructura sobretodo persona escaso recurso
-mejorar el acceso a la salud.,acceso salud
"-largas esperas de atención.""",largo espera atención
2384	existe una falencia de décadas considerando que la educación es un pilar fundamental para el desarrollo de un país,falencia década educación fundamental desarrollo país
2385	por todo lo que está pasando y nos sentimos con mucha inseguridad y con los saqueos.,inseguridad saqueo
"2386	fomentar la inclusión de vecinos de la comuna, mejora la calidad y diseño de las viviendas.",inclusión vecino calidad diseño
"2387	""falta de inclusión laboral.",falta inclusión laboral
falta de oportunidades de inserción laboral.,falta oportunidad inserción laboral
porcentaje de inclusión de cuota baja.,porcentaje inclusión cuota
"poco acceso a información.""",acceso información
"2388	""- se critico la falta de empatía de los profesionales.-",critico falta empatía profesional
"- las largas esperas en la atención  """,largo atención
"2389	""-> sin explicarle como funciona el sistema de pensión",sistema pensión
"-> sistema de salud que no es gratuito; la gente quiere que sea para todos igual.""",sistema salud gratuito gente igual
"2390	""- fatan especialistas en el servicio público, y disponibles para atender a la gente",especialista servicio público disponible gente
"2391	""falta de especialistas con vocación de servicio oftalmólogos ginecólogos etc oncólogos",falta especialista vocación
"como mujer estamos mas propensas a enfermedades graves como cáncer cervical de mama de ovarios etc""",mujer propenso enfermedad grave cáncer cervical mama ovario
"2392	""- Falta mejorar la atencion mejor calidad dentro de la comunidades",atención mejor calidad
"- En Turi falta infraestructura para para la atención medica y para que las personas sean atendidas en forma digna. """,turi infraestructura atención medico persona forma digno
"2393	eliminar las afp, porque las jubilaciones no son dignas, quienes las administran es un negocio se hacen ricos con la plata que trabajan con la plata de nos.",jubilación digno negocio rico plata plata
"2394	""- mejoras en el trato de fncionario (retiro)",mejora trato fncionario retiro
"- existen programas y leyes pero en los hechos no se ejercen. las mejoras están en el papel y no se lleva a la acción""",programa ley hecho
"2395	""tiempos de espera. acceso a horas médicas. funcionarios sin voluntad de atender y trabajar (comuna de longaví)",tiempo espera
"horas de interconsulta, tiempos muy largos""",hora interconsulta tiempo largo
"2396	""mejorar la salud publica, mas especialistas.",salud especialista
que se respeten sus derechos.,derecho
"falta de medicamentos, no llegan a las personas (parkinson, alzheimer). y cantidad, no alcanza para todo el mes. """,falta medicamento persona alzheimer
- desigualdad en los colegios,desigualdad colegio
"- trabajo social integrado con las familias, con el entorno""",trabajo social integrado familia entorno
"2398	""-faltan más especialistas.",especialista
-disminuir listas de espera.,lista espera
"-mejorar la atención, más óptima.",atención óptimo
-falta de insumos.,falta insumo
"-mejorar el trato hacia los usuarios. (administrativos)""",trato usuario
"2399	""-porque hay falta de medicos",falta medico
-falta de horas medicas,falta hora medico
-falta de consultorios para atender a toda la población,falta consultorio población
"-falta de ética en los médicos""",falta ética médico
"2400	""-derecho sobre los bienes -> entregar el dinero completo para la persona",derecho bien dinero completo persona
-incluir nucleo familiar a la herencia,nucleo familiar herencia
"traspaso de fondos.""",traspaso fondo
"2401	""señalaron que la prioridad es mejorar las pensiones.",prioridad pensión
"indicaron que se debe revisar el sistema de calculo de la edad (expectativa de vida) y el tema de las afp""",sistema calculo edad expectativa vida tema afp
"2402	""mejor atencion publica.",mejor atención
que sea de calidad.,calidad
que se terminen las colas.,cola
adultos y niños mejorar atencion.,adulto niño atención
"mas horas medicas.""",hora medico
2403	-visión hacia el futuro que se viene. como van a ser las pensiones cuando nosotros estemos pensionados.,visión futuro
"2404	""pensiones dignas para las personas de la tercera edad.",pensión digno persona tercero edad
traspaso de las ganancias de las afp´s hacia sus afiliados.,traspaso ganancia afiliado
"cambio del actual sistema.""",cambio actual sistema
- especiales en taltal,especial taltal
"- listas de espera, para operación y tratamientos""",lista espera operación tratamiento
2406	en caso de enfermedades terminales. que se pague lo que corresponda o se permita retirar el total de su dinero,caso enfermedad terminal
"2407	""mencionan que faltan especialistas y horas de atención.",especialista hora atención
"revisar los procedimientos en el sector salud, porque no son eficientes.""",procedimiento sector eficiente
"2408	""-xq no estan cubiertas todas las enfermedades",cubierto enfermedad
"-listas muy largas. no hay remedios, son muy básicas",largo
-mejorar la calidad de la atención,calidad atención
"-listas esperas para examenes y horas""",lista examen hora
"2409	""-no estan cubiertos todas las enfermedades",cubierto enfermedad
-largas listas de espera,largo lista espera
"-en los sectores rurales no hay médicos""",sector rural médico
que los especialistas trabajen en fonasa.,especialista fonasa
"que el ministerio sea terreno que las autoridades en general.""",ministerio terreno general
"2411	""- con cada una de las personas y saber nuestras diferencias.",persona diferencia
"- no hay respeto con la autoridad""",autoridad
2412	con los ya jubilados y de los que van a jubilar que sus pagos sean consecuentes al salario actual,jubilado pago consecuente salario actual
"2413	""altos precios en medicamentos",alto precio medicamento
mucha desigualdad entre sistema privado y público.,desigualdad sistema privado público
"listas de espera""",lista espera
"2414	incrementar el financiamientos a los hospitales y consultorios, para la calidad de vida de las personas mas necesitadas",financiamiento hospital consultorio calidad vida persona necesitado
"2415	""igualdad en la enseñanza entre los colegios municipales y subvencionados.",igualdad enseñanza colegio municipal subvencionado
"universidad gratis ya que los estudiantes viven encolillados.""",estudiante encolillado
"2416	""dan muy pocos numeros para atenderse",numero
demaciadas horas para llevar un medicamento.,demaciado hora medicamento
"mala atención y son prepotentes en los consultorios y hospital""",malo atención prepotente consultorio hospital
2417	1) queremos que sea mas rapido la atencion en hospitales y que se acabe las listas de esperas.,rapido atención hospital lista espera
"2418	""- sistema de salud",sistema salud
- lista de espera,lista espera
"- nivelar la salud privada de la publica""",salud privado publica
"2419	bajas pensiones, no se retribuye a las personas por todo su duro trabajo, las afp descuentan de los ahorros de las personas las pedidas por mala inversión de sus fondos, es un robo",baja pensión persona duro trabajo ahorro persona pedido malo inversión fondo robo
"2420	""larga espera en la realización de exámenes.",largo realización exámen
-el acceso difícil que hay para llegar a un centro de salud.,acceso difícil centro salud
-la falta de profesionales especialistas.,falta profesional especialista
"-mejorar lista de espera y medicamentos.""",lista espera medicamento
"2421	""-la espera que hay que hacer para tomar una hora (servicio público) pesima atención del sistema público",espera hora servicio público pesimo atención sistema público
- falta de medicamentos y mala distribución,falta medicamento malo distribución
"- escases de profesionales en el sistema publico""",escase profesional sistema público
"2422	""una de las necesidades principales es mejorar la educación pública que esta sea de calidad y gratuita",necesidad principal educación público calidad gratuito
"eliminando la desigualdad.""",desigualdad
"2423	""horas de atención al usuario.",hora atención usuario
incluso en niños con condiciones especiales.,niño condición especial
"no está de acuerdo que una prueba mida mis capacidades.""",acuerdo capacidad
"2424	""-por la atención a los pacientes",atención paciente
-la falta de recursos (medicamentos),falta recurso medicamento
-falta de especialistas en hospitales,falta especialista hospital
2425	reorganización de recursos e inversión del área de salud. preocupación por el grupo etario tercera edad.,reorganización recurso inversión área salud
"2426	""mejorar calidad via, salud mental, farmacos ( falta de medicamentos)",calidad salud mental farmaco falta medicamento
"-poca efectividad en salud ( listas de espera)""",efectividad salud lista espera
"2427	""se perdió el respeto por las autoridades .",respeto autoridad
sin seguridad de las fuerzas de  orden.,seguridad fuerza orden
quitaron autoridad o carabineros.,autoridad carabinero
"2428	""-reformar sistema de salud.",sistema salud
-abusos del sistema por parte medica.,abuso sistema parte medico
"-union de todos los sistemas de salud, dipresa,  isapre, fonasa.",unión sistema salud dipresa
-inversión en salud mental.,inversión salud mental
"-inversión en prevención, salud publica""",inversión prevención salud
"2429	""-cantidad y calidad de atención",cantidad calidad atención
-listas de espera,lista espera
-valor de remedios ($),valor remedio
-falta de especialistas-,falta especialista
"-regular los aranceles medicos""",arancel medico
"2430	""- disminuir las listas de espera",lista espera
"- acceso a la salid, disminuir la brecha economica",acceso brecha economico
"- regulacion en las isapres, por las alzas""",alza
"2431	""de calidad e igualitaria.",calidad igualitario
altos costos de una carrera universitaria.,alto costo carrera universitario
mejoramiento de la vocación docente.,mejoramiento vocación docente
"entrega de valores en familia""",entrega valor familia
2432	Mas allá de hablar de gratuidad nos interesa que exista igualdad en la educación y que todos reciban la misma preparación para la P.S.U.,gratuidad igualdad educación preparación psu
"2433	""sistema en que se quedan los fondos",sistema fondo
sentimiento de no haber una propuesta en los fondos de pensiones,sentimiento propuesta fondo pensión
"por no tener derecho a elegir solo lo que te ofrecen""",derecho
"2434	se señala que más allá de la discapacidad, habría que poner más atención a la ceguera como discapacidad,  ya que resulta ser más invalidante y también el la fiscalización en temas de inclusión difusión de la discapacidad",discapacidad atención ceguera discapacidad fiscalización tema inclusión difusión discapacidad
"2435	pensiones: las pensiones de los adultos mayores son indignos, es urgente generar una reforma a las afp para mejorar condiciones",pensión pensión adulto mayor indigno urgente reforma condición
"2436	""- desigualdades en la educacion",desigualdad educación
- alto costo de ingreso,alto costo ingreso
"- mejorar el conocimiento en la enseñanza media""",conocimiento enseñanza medio
"2437	""-Deben terminar las listas de espera",lista espera
-Han esperado más de dos años que llegue la hora para una operación y hasta el día de hoy no hay respuesta.,año hora operación día respuesta
"-Salud de calidad y para todos.""",salud calidad
-desigualdad en el acceso a la educación.,desigualdad acceso educación
"-falta de recursos para acceder a la educación superior ya que la gratuidad no es universal""",falta recurso educación superior gratuidad universal
2439	se requiere de forma urgente cambios al sistema de las afp puesto que el sistema no se basa en los principios de la igualdad social.,forma urgente cambio sistema puesto sistema principio igualdad social
"2440	""destrucción de lugares importantes para el funcionamiento general.",destrucción lugar importante funcionamiento general
"escasa transparencia de los organismos publicos que regulan las acciones del estado.""",escaso transparencia organismo público acción estado
"2441	""mejorar educación civica",educación civico
calidad en las oportunidades y aprendizaje a los alumnos y profesionales,calidad oportunidad aprendizaje alumno profesional
mayor cantidad de recursos y accesibilidad,mayor cantidad recurso accesibilidad
"mejorar prácticas inclusivas""",práctica inclusivo
"2442	terminar con lista de esperas en operaciones varias, mejorar calidad de la salud pública en hospitales y cesfam.",lista espera operación calidad salud público hospital cesfam
"2443	necesitamos que el estado se haga cargo de la seguridad de los ciudadanos, pero que sea una institución con las personas adecuadas",estado cargo seguridad ciudadano institución persona adecuado
no hay seguridad y carabineros los defienda.,seguridad carabinero
carabineros esta sobrepasado,carabinero sobrepasado
incomprensión con carabineros.,incomprensión carabinero
le quitaron atribuciones a carabineros.,atribución carabinero
"leyes que no sirven.""",ley
alto costo medicina,alto costo medicina
no hay especialistas (tener que ir a santiago),especialista santiago
alto costo medicamentos,alto costo medicamento
lista de espera,lista espera
"2446	si los representantes políticos de nuestra sociedad no llegan a acuerdos, nuestras familias se ven afectadas.",representante político sociedad acuerdo familia afectado
"2447	""-no hay una salud de calidad",salud calidad
-las listas de espera matan a las personas.,lista espera persona
-no hay buenos especialistas.,buen especialista
"-faltan especialistas en la región""",especialista región
"2448	""asegurar pensiones dignas, ya que el sistema de afp no es justo, ya que no garantiza una calidad de vida.",pensión digno sistema justo calidad vida
"han cambiado el sistema dominitración de fondos de las afp.""",sistema dominitración fondo afp
"2449	actualmente la población exige un sistema educacional accesiblle, gratis y de calidad. no se puede pensar que los ciudadanos van a vivir endeudados por aumentar sus conocimientos y niveles cuturales, el estado debe brindar esa seguridad",población sistema educacional accesiblle calidad
"2450	""falta de iluminacion en muchos sectores lo que ayuda a la delincuencia",falta iluminación sector delincuencia
"- reparacion de los accesos perifericos para bomberos, ambulancias puedan llegar al lugar son rqueridos",reparación acceso periferico bombero lugar
"- nos sentimos absolutamente vulnerables ante la delincuencia.""",vulnerable delincuencia
"2451	volver al antiguo sistema de pensiones, conseguir que el estado regule los recursos y de mayor seguridad para los futuros pensionados con una pensión digna.",antiguo sistema pensión estado regular recurso mayor seguridad futuro pensionado pensión digno
"2452	políticos con vocación de servicio, con un sueldo acorde a la labor realizada y que sean idoneos al cargo. sin reelección.",político vocación servicio sueldo labor realizado idoneo cargo
2453	problema ya que pagamos mensualmente por fonasa e isapre no la usamos durante años y cuando llega el momento de utilizar se nos vienn todos los problemas de espera mala calidad y negación a medicamentos y más encima seguir pagando mucho más de lo aportado mensualmente,problema fonasa año momento problema espera malo calidad negación medicamento
"2454	""de calidad e igualitaria",calidad igualitario
"potenciar la educación desde la familia ( ingresos, vivienda, desarrollo social)",educación familia ingreso vivienda desarrollo social
"2455	""que la proyección del alza del sueldo mínimo sea igual para todos los trabajadores.",proyección alza sueldo mínimo igual trabajador
"2456	el país necesita salud garantizada en todos los ámbitos oportunidad económica, calidad, atención oportuna más profesionales, mas centros, más equipos tecnológicos en atención primaria",país salud garantizado ámbito oportunidad económico calidad atención oportuno profesional centro equipo tecnológico atención primario
"2457	la salud solo se puede concebir en términos dignos, sin ello no hay más derechos. la manera en que se asegura es precarísima, largas esperas, urgencias precarias, falta de insumos, tecnologías, especialistas,",salud término digno derecho
2458	3 señalan nueva donde se parta de cero y otros 2 señalan que se modifique algunos artículos.,nuevo cero artículo
"2459	""eternas listas de espera para la atención.",eterno lista espera atención
cero empatía de los profesionales de la salud.,cero profesional salud
es muy caro y la brecha entre lo público y privado es altísimo.,caro brecha público privado
"es un negocio y lucran con la enfermedad.""",negocio enfermedad
"2460	""no hay oferta en carreras y para las carreras no hay cupos",oferta carrera carrera
otorgar beneficios a jovenes que se superan,beneficio joven
mejorar o nivelar educación en colegios,educación colegio
"alto costo en traslado para asistir a universidades""",alto costo traslado
"2461	mejorar las pensiones es una prioridad, ya que la calidad de los adultos mayores es muy precaria en este país, viviendo con pensiones miserables que se contradicen con sus años de trabajo y lo que ellos han cotizado",pensión prioridad calidad adulto mayor precario país pensión miserable año trabajo
"2462	""mejor calidad de educación",mejor calidad educación
evaluacion para los docentes educacional y sicologicas.,evaluación docente educacional sicologico
"mejorar infraestructura de los establecimientos.""",infraestructura establecimiento
"2463	mejorar las horas de examenes, mantender estop de remedios, mayor coordinación dentro de los servicios de salud , (consultorios, cesfam, etc)mejorar las horas de examenes, mantender estop de remedios, mayor coordinación dentro de los servicios de salud , (consultorios, cesfam, etc)",hora examen estop remedio mayor coordinación servicio salud consultorio cesfam hora examen estop remedio mayor coordinación servicio salud consultorio cesfam
"2464	""precariedad del sistema, porque los montos no permiten un buen vivir.",precariedad sistema monto buen
"no cumple objetivo de retiro""",objetivo retiro
2465	los beneficios no se reparten a todos por igual. falta de equidad por parte nivel cultural.,beneficio igual
"2466	""- Mejorar la salud publica",salud
- Demasiada espera en la lista de atención,lista atención
- Falta de especialista,especialista
"- Mejorar el sistema de coordinación""",sistema coordinación
"2467	atención oportuna, integral. calidad de profesionales del área de la salud (mala atención actualmente) priorizar a adulto mayor",atención oportuno integral
"2468	""que se terminen las listas de espera.-",lista espera
"-mejor atención del personal de salud, especialmente en servicio de urgencia""",mejor atención personal salud servicio urgencia
2469	no ahí trabajo producto de la destrucción ocurrida en el pais esta quedando mucha gente sesante.,producto destrucción país gente
"2470	""Mala atención demora en tiempos, mal diagnostico, profesionales sin as competencia",mala atención demora tiempos mal diagnostico profesional competencia
"hospital nuevo con infraestructura adecuada pero sin equipo medico, largas listas interconsulta",hospital nuevo infraestructura adecuado equipo médico largo lista interconsulto
"2471	""- listas de esperas muy largas",lista espera largo
-falta de hospitales y personas capacitadas para una atención,falta hospital persona capacitado atención
"-salud muy cara """,salud cara
"2472	""mejorar tiempos de espera",tiempo espera
aumento en la cantidad de profesionales,aumento cantidad profesional
cobertura asegurada en enfermedades catastroficas,cobertura asegurado enfermedad catastrofico
disminuir listas de espera,lista espera
mejorar infraestructura y equipos,infraestructura equipo
"2473	""dificil acceso al sistema de salud, con listas de espera eternas, falta de profesionalismo en el área del sector público",difícil acceso sistema salud lista espera eterno falta profesionalismo área sector público
"acceso y salud de alto acosto""",acceso salud alto acosto
"2474	- en el sistema actual. y en la justicia, en los sueldo y de oportunidades y seguridad.",sistema actual
"2475	""uno de los problemas de porque nacio el estallido social",problema estallido social
"pension digna para los adultos mayores, reforma al l 3500""",pensión digno adulto mayor reforma
- listas de esperas,lista espera
- previcion no cubre,previción
"- mala atención (publico)""",malo atención público
"2477	""- falta eficiencia en el personal",eficiencia personal
- accesibilidad para todos =,accesibilidad
- costo de los medicamentos,costo medicamento
"- los medicos en los hospitales no son eficientes y hoy tienes que esperar largas hrs""",medico hospital eficiente largo
"2478	""-Terminar con las listas de espera.",lista espera
"-Contar con mas personal médico y especialidades sobre todo con regiones extremas como Aysén""",personal médico especialidad región extremo aysén
"2479	""- falta de especialistas en hospitales",falta especialista hospital
- solución a las listas de esperas,solución lista espera
"2480	""1 mejorar la educación universal y deportiva",educación universal deportivo
2 generar bast curricular deportiva variada,variado
3 intensificar la propuesta en educación fisica,propuesta educación fisico
4 incorporar a la familia en la educación,familia educación
"5 fomentar la competencia y cultura deportiva""",competencia cultura deportivo
mucho tiempo de espera para hacerse operación y que sea un especialista.,tiempo espera operación especialista
"largos viajes para ser atendidos.""",largo viaje
"2482	""más médicos en los cesfan.",médico
incorporación de especialistas.,incorporación especialista
"mejor gestión municipal para mantener los médicos en los cesfan""",mejor gestión municipal médico
"2483	mejorar el acceso a la educación y becas, ganarse una  beca es muy difícil hay que aumentar los beneficios y se amplíe a mucha mas gente.",acceso educación uno difícil beneficio gente
"2484	""que exista un presidente que no tenga colores políticos",presidente color político
"que los políticos no se repitan los platos.""",político plato
"2485	""rapidéz para las horas de operaciones o controles.",hora operación control
que fiscalicen la atención,atención
bajen los precios de medicamentos,precio medicamento
"las pensiones son muy bajas por una vida de trabajo y no alcanza para cubrir las necesidades. """,pensión baja vida trabajo necesidad
"2487	""- los consultorios estan mal atendidos, estar de las 6am. esperando un numero de atencion.",consultorio atendido am
- esperas de mas de tres meses para un examen.,mes examen
"- arreglar salud gratuita para los adultos mayores.""",salud gratuito adulto mayor
"2488	""que no existan cobros injustificados.",cobro injustificado
"que no existan filas, mejor atención",fila mejor atención
bajar los precios de los medicamentos,precio medicamento
mayores subenciones a la salud dental.,mayor subención salud dental
"incluir tratamientos de enf. catastroficas """,tratamiento enf
"2489	educación igualitaria, educación de calidad, mayor capacitación a los profesionales. sistema de admisión a la psu (alineación). el lucro en la educación, las universidades son muy caras. actualización de las mallas curriculares. más inclusividad.",educación igualitario educación calidad mayor capacitación profesional
"2490	para poder tener una educación de calidad, para que todos tengan una oportunidad en una buena universidad.",educación calidad oportunidad buen universidad
"2491	""-no les dan número para atenderse.",número
-no se sienten prioridad,prioridad
-horas de espera.,hora espera
"-mala atención de los doctores/enfermeras""",malo atención doctor enfermero
"2492	""tanto tiempo de esperas.",tiempo espera
"falta de profesionalismo de parte de los doctores y personal que atienden, muchas veces no hay buen trato ni empatía, se siente la falta de vocación.""",falta profesionalismo parte doctor personal vez buen trato empatía falta vocación
"2493	es una necesidad ya que debe replantear las mallas curriculares de educación (básica, media, superior). solución: crear un solo plan educativo para chile (igualdad y calidad)",necesidad malla curricular educación básico medio superior
"2494	la salud es muy deficiente, falta de personal en los servicios de salud especialmente en el sector rural, y al ser derivados a los hospitales, falta programación de horas medicas.",salud deficiente falta personal servicio salud sector rural hospital programación hora medico
"2495	""- control en los profesionales",control profesional
- falta de profesionales y remedios,falta profesional remedio
"- deficiencia en atención de consultorio""",deficiencia atención consultorio
"2496	las pensiones son muy bajas para la cantidad de gastos que debemos realizar, sobre todo en salud",pensión baja cantidad gasto salud
2497	volver al sistema de reparto priorizar y mejorar las pensiones de las jubilados no subir la edad de las mujeres bajarle incluso,sistema reparto pensión jubilado edad mujer
2498	la población está envejeciendo y nuestro sistema actual va en desmedro de la calidad de vida en la tercera edad. necesidades básicas deben ser cubiertas por el estado,población sistema actual desmedro calidad vida tercero edad
"2499	la mayoria de los centros de atencion medica privadas son demasiado costosas para los ciudadanos promedio, y los centros publicos son demasiado precarios en su calidad de atencion",mayoria centro atención medico privado costoso ciudadano promedio centro público precario calidad atención
"2500	""que ? una educación de buena calidad: por vocación, no segregadora, que esta sea integradora.",educación buen calidad vocación segregador integrador
que geste una educación pertinente a los avances del país.,educación pertinente avance país
"mayor enfasis en pre. básica.""",mayor enfasis básico
2501	necesitamos mas profesionales en nuestros consultorios. pedimos con urgencia que se reactive el proyecto que  estaba para un nuevo hospital.,profesional consultorio
- falta incentivo de los alumnos y apoderados por la educación,incentivo alumno apoderado educación
"- bajar cantidad alumnos a 20 maximo por curso""",cantidad alumno máximo curso
"2503	""- hay mucha diferencia en atención entre salud pública y privada",atención salud público privado
- falta de profesionalismo,falta profesionalismo
- remedios (valores exorbitantes),remedio valor
- horas de espera interminables,hora espera interminable
"- la salud no puede ser un negocio""",salud negocio
"2504	""han querido quitarme la pensión pero no han podido. con eso se mantiene. el fondo de mi AFP se terminara",pensión
"que el salario sea mas equitativo""",salario equitativo
"2505	""- el sistema de salud no garantiza el derecho a la salud",sistema salud derecho salud
"- el estado debe asumirt la responsabilidad""",estado deber responsabilidad
"2506	""para mejorar eficiencia en la gestion y utilización recursos",eficiencia utilización recurso
exceso de operadores políticos en servicios,exceso operador político servicio
estado honesto sin privilegio,honesto privilegio
modenización del estado,modenización estado
"cambio de paradigma productivo (enfoque a la tecnologia)""",cambio paradigma productivo tecnologia
"2507	""potenciar serv. de urgencia",serv urgencia
gestion de los hospitales,hospital
dar solucion a los listas de espera,solución lista espera
no discriminar en los planes por sexo,plan sexo
"mayor cantidad de especialistas""",mayor cantidad especialista
"2508	""-mejorar la educación, gratuidad nivel superior",educación gratuidad nivel superior
"- mejora en la infraestructura en los colegios del estado""",mejora infraestructura colegio estado
"2509	""no hay regulación frente a las inmobiliarias, te obligan a elegir en ciertos sectores.",regulación inmobiliario sector
"el sistema bancario te obliga a endeudarte""",sistema bancario
"2510	""- garantizar tranquilidad ciudadana.",tranquilidad ciudadano
- mejorar y perfeccionar carabineros de chile (mayores competencias),carabinero mayor competencia
- velar y/o supervisar que las fuerzas armadas no apliquen abuso de poder.,fuerza armado abuso poder
"- toque de queda: constribución al orden público.""",toque queda constribución orden público
"2511	""retraso en atenciones de salud.",retraso atención salud
- asignación tardía en horas de atención,asignación hora atención
- falta de insumos.,falta insumo
- falta medicamentos especificos.,medicamento especifico
"2512	""cobertura de enfermedades.",cobertura enfermedad
demora en atención en salud (atención médica o toma exámenes).,demora atención salud atención médico exámen
mala atención al paciente.,malo atención paciente
alto costo en tratamientos.,alto costo tratamiento
condiciones y salubridad en prestación de servicios (ej. baños).,condición salubridad prestación servicio baño
"desigualdad entre público o privado. """,desigualdad público privado
"2513	""falta de atención oportuna.",falta atención oportuno
la gente se muere esperando atención.,gente atención
diferencia entre salud pública y privada.,diferencia salud público privado
"las personas que viven en lugares alejados no tienen preferencia.""",persona lugar alejado preferencia
adquisición de conocimientos mejorará al país y habrá más respeto.,adquisición conocimiento país respeto
"más acceso a educación de calidad a sectores vulnerables.""",acceso educación calidad sector vulnerable
