	P2_1_B
2407	"mencionan que faltan especialistas y horas de atención.
revisar los procedimientos en el sector salud, porque no son eficientes."
2408	"-xq no estan cubiertas todas las enfermedades
-listas muy largas. no hay remedios, son muy básicas
-mejores sueldos
-mejorar la calidad de la atención
-listas esperas para examenes y horas"
2409	"-no estan cubiertos todas las enfermedades
-largas listas de espera
-en los sectores rurales no hay médicos"
2410	"mas especialistas.
que los especialistas trabajen en fonasa.
que el ministerio sea terreno que las autoridades en general."
2411	"- con cada una de las personas y saber nuestras diferencias.
- no hay respeto con la autoridad"
2412	con los ya jubilados y de los que van a jubilar que sus pagos sean consecuentes al salario actual
2413	"altos precios en medicamentos
atención deficiente
mucha desigualdad entre sistema privado y público.
listas de espera"
2414	incrementar el financiamientos a los hospitales y consultorios, para la calidad de vida de las personas mas necesitadas
2415	"igualdad en la enseñanza entre los colegios municipales y subvencionados.
universidad gratis ya que los estudiantes viven encolillados."
2416	"dan muy pocos numeros para atenderse

demaciadas horas para llevar un medicamento.

mala atención y son prepotentes en los consultorios y hospital"
2417	1) queremos que sea mas rapido la atencion en hospitales y que se acabe las listas de esperas. 
2418	"- sistema de salud
- lista de espera
- insumos
- nivelar la salud privada de la publica"
2419	bajas pensiones, no se retribuye a las personas por todo su duro trabajo, las afp descuentan de los ahorros de las personas las pedidas por mala inversión de sus fondos, es un robo
2420	"larga espera en la realización de exámenes.
-el acceso difícil que hay para llegar a un centro de salud.
-la falta de profesionales especialistas.
-mejorar lista de espera y medicamentos."
2421	"-la espera que hay que hacer para tomar una hora (servicio público) pesima atención del sistema público
- falta de medicamentos y mala distribución
- escases de profesionales en el sistema publico"
2422	"una de las necesidades principales es mejorar la educación pública que esta sea de calidad y gratuita
eliminando la desigualdad."
2423	"horas de atención al usuario.
incluso en niños con condiciones especiales. 
no está de acuerdo que una prueba mida mis capacidades."
2424	"-por la atención a los pacientes
-la falta de recursos (medicamentos)
-falta de especialistas en hospitales 
-mejorar infraestructura "
2425	reorganización de recursos e inversión del área de salud. preocupación por el grupo etario tercera edad.
2426	"mejorar calidad via, salud mental, farmacos ( falta de medicamentos)
-poca efectividad en salud ( listas de espera)"
2427	"se perdió el respeto por las autoridades .
sin seguridad de las fuerzas de  orden.
quitaron autoridad o carabineros.
 "
2428	"-reformar sistema de salud.
-abusos del sistema por parte medica.
-union de todos los sistemas de salud, dipresa,  isapre, fonasa.
-inversión en salud mental.
-inversión en prevención, salud publica"
2429	"-cantidad y calidad de atención
-listas de espera
-valor de remedios ($)
-falta de especialistas-
-políticas públicas
-regular los aranceles medicos"
2430	"- disminuir las listas de espera
- acceso a la salid, disminuir la brecha economica
- regulacion en las isapres, por las alzas"
2431	"de calidad e igualitaria.
altos costos de una carrera universitaria.
mejoramiento de la vocación docente.
entrega de valores en familia"
2432	Mas allá de hablar de gratuidad nos interesa que exista igualdad en la educación y que todos reciban la misma preparación para la P.S.U.
2433	"sistema en que se quedan los fondos
sentimiento de no haber una propuesta en los fondos de pensiones
por no tener derecho a elegir solo lo que te ofrecen"
2434	se señala que más allá de la discapacidad, habría que poner más atención a la ceguera como discapacidad,  ya que resulta ser más invalidante y también el la fiscalización en temas de inclusión difusión de la discapacidad
2435	pensiones: las pensiones de los adultos mayores son indignos, es urgente generar una reforma a las afp para mejorar condiciones
2436	"- desigualdades en la educacion
- alto costo de ingreso
- mejorar el conocimiento en la enseñanza media"
2437	"-Deben terminar las listas de espera
-Han esperado más de dos años que llegue la hora para una operación y hasta el día de hoy no hay respuesta.
-Salud de calidad y para todos."
2438	"
-desigualdad en el acceso a la educación. 
-falta de recursos para acceder a la educación superior ya que la gratuidad no es universal"
2439	se requiere de forma urgente cambios al sistema de las afp puesto que el sistema no se basa en los principios de la igualdad social.
2440	"destrucción de lugares importantes para el funcionamiento general.
escasa transparencia de los organismos publicos que regulan las acciones del estado."
2441	"mejorar educación civica
calidad en las oportunidades y aprendizaje a los alumnos y profesionales
mayor cantidad de recursos y accesibilidad
mejorar prácticas inclusivas"
2442	terminar con lista de esperas en operaciones varias, mejorar calidad de la salud pública en hospitales y cesfam.
2443	necesitamos que el estado se haga cargo de la seguridad de los ciudadanos, pero que sea una institución con las personas adecuadas
2444	"porque esta todo revuelto
no hay seguridad y carabineros los defienda.
carabineros esta sobrepasado
incomprensión con carabineros.
le quitaron atribuciones a carabineros.
pocos carabineros.
leyes que no sirven."
2445	"malos funcionarios
alto costo medicina
no hay especialistas (tener que ir a santiago)
alto costo medicamentos
lista de espera 
faltan profesionales"
2446	si los representantes políticos de nuestra sociedad no llegan a acuerdos, nuestras familias se ven afectadas.
2447	"-no hay una salud de calidad
-las listas de espera matan a las personas.
-no hay buenos especialistas.
-faltan especialistas en la región"
2448	"asegurar pensiones dignas, ya que el sistema de afp no es justo, ya que no garantiza una calidad de vida.
han cambiado el sistema dominitración de fondos de las afp."
2449	actualmente la población exige un sistema educacional accesiblle, gratis y de calidad. no se puede pensar que los ciudadanos van a vivir endeudados por aumentar sus conocimientos y niveles cuturales, el estado debe brindar esa seguridad
2450	"falta de iluminacion en muchos sectores lo que ayuda a la delincuencia
- reparacion de los accesos perifericos para bomberos, ambulancias puedan llegar al lugar son rqueridos
- nos sentimos absolutamente vulnerables ante la delincuencia."
2451	volver al antiguo sistema de pensiones, conseguir que el estado regule los recursos y de mayor seguridad para los futuros pensionados con una pensión digna.
2452	políticos con vocación de servicio, con un sueldo acorde a la labor realizada y que sean idoneos al cargo. sin reelección.
2453	problema ya que pagamos mensualmente por fonasa e isapre no la usamos durante años y cuando llega el momento de utilizar se nos vienn todos los problemas de espera mala calidad y negación a medicamentos y más encima seguir pagando mucho más de lo aportado mensualmente
2454	"de calidad e igualitaria
cívica
potenciar la educación desde la familia ( ingresos, vivienda, desarrollo social)
"
2455	"que la proyección del alza del sueldo mínimo sea igual para todos los trabajadores. 
igualdad social."
2456	el país necesita salud garantizada en todos los ámbitos oportunidad económica, calidad, atención oportuna más profesionales, mas centros, más equipos tecnológicos en atención primaria 
2457	la salud solo se puede concebir en términos dignos, sin ello no hay más derechos. la manera en que se asegura es precarísima, largas esperas, urgencias precarias, falta de insumos, tecnologías, especialistas, 
2458	3 señalan nueva donde se parta de cero y otros 2 señalan que se modifique algunos artículos.
2459	"eternas listas de espera para la atención.
cero empatía de los profesionales de la salud.
es muy caro y la brecha entre lo público y privado es altísimo.
es un negocio y lucran con la enfermedad."
2460	"no hay oferta en carreras y para las carreras no hay cupos
otorgar beneficios a jovenes que se superan
mejorar o nivelar educación en colegios
alto costo en traslado para asistir a universidades"
2461	mejorar las pensiones es una prioridad, ya que la calidad de los adultos mayores es muy precaria en este país, viviendo con pensiones miserables que se contradicen con sus años de trabajo y lo que ellos han cotizado
2462	"mejor calidad de educación
evaluacion para los docentes educacional y sicologicas.
mejorar infraestructura de los establecimientos."
2463	mejorar las horas de examenes, mantender estop de remedios, mayor coordinación dentro de los servicios de salud , (consultorios, cesfam, etc)mejorar las horas de examenes, mantender estop de remedios, mayor coordinación dentro de los servicios de salud , (consultorios, cesfam, etc)
2464	"precariedad del sistema, porque los montos no permiten un buen vivir.
es algo que se debe priorizar
no cumple objetivo de retiro"
2465	los beneficios no se reparten a todos por igual. falta de equidad por parte nivel cultural. 
2466	"- Mejorar la salud publica
- Demasiada espera en la lista de atención 
- Falta de especialista
- Mejorar el sistema de coordinación"
2467	atención oportuna, integral. calidad de profesionales del área de la salud (mala atención actualmente) priorizar a adulto mayor
2468	"que se terminen las listas de espera.-
-mejor atención del personal de salud, especialmente en servicio de urgencia"
2469	no ahí trabajo producto de la destrucción ocurrida en el pais esta quedando mucha gente sesante.
2470	"Mala atención demora en tiempos, mal diagnostico, profesionales sin as competencia
hospital nuevo con infraestructura adecuada pero sin equipo medico, largas listas interconsulta 
falta especialistas"
2471	"- listas de esperas muy largas 
-falta de hospitales y personas capacitadas para una atención 
-salud muy cara "
2472	"mejorar tiempos de espera
aumento en la cantidad de profesionales
cobertura asegurada en enfermedades catastroficas
disminuir listas de espera
mejorar infraestructura y equipos
legalizar eutanasia"
2473	"dificil acceso al sistema de salud, con listas de espera eternas, falta de profesionalismo en el área del sector público

acceso y salud de alto acosto"
2474	- en el sistema actual. y en la justicia, en los sueldo y de oportunidades y seguridad.
2475	"uno de los problemas de porque nacio el estallido social 
pension digna para los adultos mayores, reforma al l 3500"
2476	"- horas medicas
- listas de esperas
- mediamentos
- previcion no cubre
- mala atención (publico)"
2477	"- falta eficiencia en el personal
- accesibilidad para todos =
- costo de los medicamentos
- los medicos en los hospitales no son eficientes y hoy tienes que esperar largas hrs"
2478	"-Terminar con las listas de espera.
-Contar con mas personal médico y especialidades sobre todo con regiones extremas como Aysén"
2479	"- falta de especialistas en hospitales
- solución a las listas de esperas
- mala atención"
2480	"1 mejorar la educación universal y deportiva
2 generar bast curricular deportiva variada
3 intensificar la propuesta en educación fisica
4 incorporar a la familia en la educación
5 fomentar la competencia y cultura deportiva"
2481	"faltan especialistas.
infraestructura, hospitales.
mucho tiempo de espera para hacerse operación y que sea un especialista.
largos viajes para ser atendidos."
2482	"más médicos en los cesfan.
incorporación de especialistas.
mejor gestión municipal para mantener los médicos en los cesfan"
2483	mejorar el acceso a la educación y becas, ganarse una  beca es muy difícil hay que aumentar los beneficios y se amplíe a mucha mas gente.
2484	"que exista un presidente que no tenga colores políticos
que los políticos no se repitan los platos."
2485	"rapidéz para las horas de operaciones o controles.

que fiscalicen la atención

mejor atención

bajen los precios de medicamentos
"
2486	"
las pensiones son muy bajas por una vida de trabajo y no alcanza para cubrir las necesidades. "
2487	"- los consultorios estan mal atendidos, estar de las 6am. esperando un numero de atencion.
- esperas de mas de tres meses para un examen.
- arreglar salud gratuita para los adultos mayores."
2488	"que no existan cobros injustificados. 
que no existan filas, mejor atención 
bajar los precios de los medicamentos 
mayores subenciones a la salud dental. 
incluir tratamientos de enf. catastroficas "
2489	educación igualitaria, educación de calidad, mayor capacitación a los profesionales. sistema de admisión a la psu (alineación). el lucro en la educación, las universidades son muy caras. actualización de las mallas curriculares. más inclusividad.
2490	para poder tener una educación de calidad, para que todos tengan una oportunidad en una buena universidad. 
2491	"-no les dan número para atenderse.
-no se sienten prioridad
-horas de espera.
-mala atención de los doctores/enfermeras"
2492	"tanto tiempo de esperas.
falta de profesionalismo de parte de los doctores y personal que atienden, muchas veces no hay buen trato ni empatía, se siente la falta de vocación."
2493	es una necesidad ya que debe replantear las mallas curriculares de educación (básica, media, superior). solución: crear un solo plan educativo para chile (igualdad y calidad)
2494	la salud es muy deficiente, falta de personal en los servicios de salud especialmente en el sector rural, y al ser derivados a los hospitales, falta programación de horas medicas.
2495	"- control en los profesionales
- falta de profesionales y remedios
- deficiencia en atención de consultorio"
2496	las pensiones son muy bajas para la cantidad de gastos que debemos realizar, sobre todo en salud
2497	volver al sistema de reparto priorizar y mejorar las pensiones de las jubilados no subir la edad de las mujeres bajarle incluso
2498	la población está envejeciendo y nuestro sistema actual va en desmedro de la calidad de vida en la tercera edad. necesidades básicas deben ser cubiertas por el estado
2499	la mayoria de los centros de atencion medica privadas son demasiado costosas para los ciudadanos promedio, y los centros publicos son demasiado precarios en su calidad de atencion
2500	"que ? una educación de buena calidad: por vocación, no segregadora, que esta sea integradora.
que geste una educación pertinente a los avances del país.
mayor enfasis en pre. básica."
2501	necesitamos mas profesionales en nuestros consultorios. pedimos con urgencia que se reactive el proyecto que  estaba para un nuevo hospital.
2502	"- reforma educacional
- falta incentivo de los alumnos y apoderados por la educación
- bajar cantidad alumnos a 20 maximo por curso"
2503	"- hay mucha diferencia en atención entre salud pública y privada
- falta de profesionalismo
- remedios (valores exorbitantes)
- horas de espera interminables
- la salud no puede ser un negocio"
2504	"han querido quitarme la pensión pero no han podido. con eso se mantiene. el fondo de mi AFP se terminara
que el salario sea mas equitativo"
2505	"- el sistema de salud no garantiza el derecho a la salud
- el estado debe asumirt la responsabilidad"
2506	"para mejorar eficiencia en la gestion y utilización recursos 
exceso de operadores políticos en servicios
estado honesto sin privilegio
modenización del estado
cambio de paradigma productivo (enfoque a la tecnologia)"
2507	"potenciar serv. de urgencia
gestion de los hospitales
dar solucion a los listas de espera
no discriminar en los planes por sexo
integración piramidal
mayor cantidad de especialistas"
2508	"-mejorar la educación, gratuidad nivel superior
- mejora en la infraestructura en los colegios del estado"
2509	"no hay regulación frente a las inmobiliarias, te obligan a elegir en ciertos sectores.
el sistema bancario te obliga a endeudarte"
2510	"- garantizar tranquilidad ciudadana.
- mejorar y perfeccionar carabineros de chile (mayores competencias)
- velar y/o supervisar que las fuerzas armadas no apliquen abuso de poder.
- toque de queda: constribución al orden público."
2511	"retraso en atenciones de salud.
- asignación tardía en horas de atención
- falta de insumos.
- falta medicamentos especificos.
- falta profesionales. entrega errónea de diagnósticos.-"
2512	"cobertura de enfermedades.
demora en atención en salud (atención médica o toma exámenes).
mala atención al paciente.
alto costo en tratamientos.
condiciones y salubridad en prestación de servicios (ej. baños).
desigualdad entre público o privado. "
2513	"falta de atención oportuna.
la gente se muere esperando atención.
diferencia entre salud pública y privada.
las personas que viven en lugares alejados no tienen preferencia."
2514	"más calidad.
adquisición de conocimientos mejorará al país y habrá más respeto.
más acceso a educación de calidad a sectores vulnerables."
2515	se sostiene que muchas decisiones se adoptan en altas esferas sin consulta a la gente, ni constatación de la realidad de la calle.
2516	".que cambie el sistema de pensiones y las afp
.aumento de pensiones (ultimo sueldo)
.disminuir edad para jubilar
disminución del calculo (edad) para pensionarse."
2517	"mejorar la educación pública
mejorar la calidad tanto de la enseñanza y de la infraestructura.
proveer un ambiente apropiado para la educación.
mejorar la calidad laboral de los profesores"
2518	"no atienden debido a paros
no dan los medicamentos
que exista mayor control (no sean rural de op)
mejorar el trato de las personas
las operaciones no as hacen"
2519	su padre perdio todos los años de imposiciones por no haber respaldo de sus años trabajados en pesquera y ferrocarril.
2520	"que existe igualdad, una mejor salud o salario justo, previsión en justicia. 
Que se generará un arreglo justo a lo solicitado, que se cumple lo ofrecido, que los trabajadores reciban sueldos justos.
que se dialogue en paz,  escuchando a todos, y que las solucionen lleguen a toda la población, no "
2521	"colusión, sacar las afp, buscar otro sistema de pensiones, modificar esperanza de vida
jubilarse todos a la misma edad"
2522	"- mucha información por menos sueldo 
-m.c.m mienten o no aparece todo
-tercera edad no le llega imposición
-necesidad en salud y atención primaria, jubilación(tercera edad, principales afectados)  
-falta un medio de comunicación mas accesible a tercera edad
-tv solo informa de santiago
-tv p"
2523	"el cae (endeudamiento para estudiar) 
el acceso a trabajo bien remunerado para egresados (piden experiencia pero a los recién salidos no les dan la oportunidad) la fila y tómbola de los colegios."
2524	el robo del agua ha provocado sequías, muerte de animales, y el abandono de la gente de sus hogares
2525	calidad de salud, digna ya que existe una deficiencia de insumos e insuficiencia de profesionales precios de medicamentos 
2526	"- Derecho a una educación inclusiva (ley de autismo)
- Que funcione el programa pie como debe ser."
2527	los carabineros deben ser una institucion creible se les debe dar una mejor preparación para que vuelva la confianza
2528	que la pensión alcancen para vivir bien, en el cual las necesidades basicas no sean una preocupación
2529	el acceso a la salud no es el indicado, se considera que es un privilegio de algunos no un derecho
2530	cual es la verdadera facultad de estas instituciones, para que nos sirven si no nos aportan en nada. nos roban 
2531	se visualizan varios en el funcionamiento de el ambito de salud y en los precios de los medicamentos amplia lista de espera
2532	"- se acaben listados de espera-
- que ingresen mas enfermedades al auge.
- atención de calidad
- que ingresen mas recursos"
2533	"-no me alcanza para vivir
-toda una epoca trabajando para recibir una miseria
-deberia volver el sistema antiguo        ganar un poco más"
2534	"para que se mejore la salud.
que hayan más especialistas atención consultorio.
igualdad en la salud."
2535	"historicamente ha existido un   en temás de salud, hay muchas listas de espera para especialistas
no puede ser que el medicamento que sale de la   a las farmacias aumente en un 90%"
2536	"haber dejado de lado lo espiritual, el sistema ha cosificado utópicamente, hay que hacerse cargo del bienestar dotando e ____ sino mas bien de lo intanigible
incluir a la sociedad civil en la toma de decisiones"
2537	el pais debe desarrollar una mejor administracion de las platas publicas para poder optar a mejores trabajos y necesidades.
2538	"-que existan mas fuentes de trabajo para disminuir la cesantia.
-trabajos que no exijan años de experiencia."
2539	"poco trabajo por que hay las gentes de afuera
le dan oportunidades a los de afuera trabajan mas y le pagan menos "
2540	de parte de las instituciones que representan al gobierno que escuchen a la gente y cumplan con lo que prometen
2541	los pueblos pequeños no tienen una conectividad que les permita mejorar la calidad de vida de los vecinos
2542	"tiempos de espera.
mejorar atención (empatía).
falta de especialistas.
diagnósticos claros.
que mis empresas no determinen la calidad de la salud que recibo."
2543	"-Se espera mucho como si todos tuvieran las mismas capacidades.
-Desarrollarse más laboralmente.
-Se sienten muy motivados trabajando"
2544	el sistema no garantiza que la persona pueda tener cubierta con la pensión las necesidades básicas 
2545	"no hay atención inmediata, mucha espera para exámenes y resultados.
no hay empatía de médicos y personal de salud.
no hay suficiente remedios ni variedad"
2546	"- educación superior sea gradualmente gratis hasta ciertos quintiles.
- trabajar hacia la calidad
-supervision que no exista intervencion idelógica y  en los niños
- derecho preferente a los padres educan hijos"
2547	"penas de cárcel, y que los embarguen como lo hacen con la gente común y corriente  debe o roba.
-cambiar el poder judicial.
-deberian haber nuevos candidatos para estar a cargo del gob."
2548	"molesta que todas las desiciones se tomen en santiago
las regiones deben tomar sus propias desiciones en la financiero y lo politico"
2549	mejoras en salus pública de calidad, buen trato a los pacientes. inyectar más recursos a esta area 
2550	el sistema de salud público en chile es malo en cuanto a los accesos a los médicos, especialistas (no hay) y la atención de urgencia. 
2551	que tambien se reconoce la vulneracion de los derechos y deberes de parte de la familia.
2552	ineficiente atención para la población en general, listas de espera y también eliminar las filas en los consultorios 
2553	a mi madre no le entregan silla de rueda que necesita hace mas de 3 meses
2554	"- De muy mala calidad
- Largas listas de espera en los Hospitales
- Los medicamentos y tratamientos mas caros del mundo.
- Los profesionales lucran con la salud
- Salud mental desprotegida"
2555	"- nuestras expectativas no se cumplen
- negligencias medicas.
- salud publica se a vuelto un negocio
- sin salud estable no se puede trabajar."
2556	"instituciones que sirvan en beneficio del pueblo con equidad. viviendas dignas
pensiones dignas y equivalente al salario minimo"
2557	"empatizar con el otro, comprender la postura del otro y a partir de ello construir.
valoración de la opinión, respeto por el otro, necesidad básica para iniciar una conversación 
es necesario escuchar las sentidas demandas sociales para destrabar el conflicto. 
"
2558	que se dejen de tapar lo que esta sucediendo y que hagan como que nada sucedió
2559	el sistema de capitalización individual que encajona al afiliados en su propio nivel de ingresos, esto ocasiona que el afiliados no pueda disponer de dinero en caso de mayor sobrevida y por tanto su pension se amortiza en más años creando pensiones miserables.
2560	"el monto es insuficiente
las afp se lleven todas las utilidades
las utilidades deben ser de las personas"
2561	regular exaustivamente las espectativas de vida con una tabla acorde a los chilenos y su real promedio de vida
2562	"-eliminar afp
-aumentar montos de jubilación
-claridad de donde invierten los fondos
-asegurar que las afp asuman las perdidas
-poder retirar los montos ahorrados en afp"
2563	"no hay horas para ser atendidos /as por medicos o para examenes
las horas con especialistas demiran años y llegan cuando la persona ya fallecio 
no hay empatia por parte de los medicos y profesionales de la salud"
2564	modificar el código de aguas e impedir la perpetuidad de los derechos de agua dado a que hay privados que poseen derechos, pero no llevan a cabo ningún interés productivo
2565	modificar el código de aguas e impedir la perpetuidad de los derechos de agua dado que hay privados que poseen derechos, pero no llevan a cabo ningún interés productivo
2566	todos coinciden en que a jubilacion debe ser digna para vivir una vejez tranquila y segura.
2567	"-se debería mejorar la manera como ha funcionado hasta ahora 
-terminar con largas esperas
-fiscalizar la atención"
2568	"porque es la base de todo, tener buena educacion desde pequeños.
brechas entre municipales y particulares, particulares subvencionados"
2569	"-lo caro del acceso a la salud
-falta de especialistas
-falta de establecimiento en sectores pequeños
-isapres "
2570	"amigables y dignas
terminaciones completas
se debe priorizar calidad en vez de cantidad
catastro de campamentos incompleto
"
2571	"mejorar la atención  
intolerancia ante la atención 
consideración ante la atención de salud ya que somos contribuyentes"
2572	en el sentido de que todos deberíamos ser tratados de la misma manera para que todos toquen los mismos beneficios  
2573	"-Mejorar la atención de funcionarios.
-Tiempos de espera por procedimientos
-Toma de hora muy temprano.
-No se entiende el sistema.
-Las operaciones demora mucho."
2574	"- mala atención y largas esperas
- falta de especialistas, insumos y medicamentos
calidad atención de los profesionales "
2575	"- queremos que nuestros hijos tengan buena educación
- tener más facilidades para educar a nuestros hijos"
2576	"Demoras excesivas para atenderse y operarse
Mejorar calidad y mayor cobertura

Diferencias muy grandes en sueldos
Mejorarlas"
2577	Mejorar la atencion de salud, ya que en algunos casos mejoran a los antiguos, tienen un telefono para solicitar atenciones de adulto mayor, pero no funciona bien.
2578	Trabajen tantos años y para después vivir así con lo mínimo es indigno y no alcanza 
2579	mejorar la atencion de salud ya que en algunos casos dejan a los antiguos, tienen un telefono para solicitar atenciones de adulto mayor, pero no funciona bien.
2580	el plasmar el crecimiento económico se enfoca en eso y dejan de lado lo social, los grupos mas vulnerables (mayores, jóvenes, etc) y temas tan importantes como la educación 
2581	"- atencion primaria de mejor calidad.
- mejorar el tiempo de espera
- mejores y más especialistas"
2582	"cambio de actitud en general de los políticos y de los funcionarios 
públicos que se burlan y atienden mas a las personas "
2583	"- no nos sentimos escuchados por la clase política
- si nos escuchan se permitirá llegar a mejores acuerdos, por que los otros conocemos nuestras necesidades.
- generar esacios de opinion entre la ciudadania."
2584	se necesita más cobertura en el sistema de salud, hay patologías que aún quedan a la deriva.
2585	es polémico ,el sistema no cumple,es un modelo que no ha sido capaz de entregar pensiones dignas
2586	"-si no hay salud de calidad, se nota
-oportuna atención
-extensa lista de espera
-brecha entre salud publica y privad"
2587	se genera entre los participantes las mismas opiniones con respecto a la falta de soluciones concretas por parte del estado, frente a las necesidades de los ciudadanos. se genera debate con respecto a las movilizaciones pacificas y no pacificas y como el gobierno a actuado con respecto a la inseguri
2588	"se requiere calidad de atencion, especialistas.
hay infraestructura pero no profesionales.
falta de cupo para atencion.
acceso a medicamentos."
2589	"-disponibilidad de más especialistas en las regiones, provincias, comunas y mayor tecnología para la salud.
-menos tiempos de espera por horas de atención (operación, etc)"
2590	"- si las instituciones no funcionan todo se desordenan
- siento frustración por los legisladores de este país
- falta poner el cascabel al gato
- hay puros incompetentes de diputados"
2591	"un organismo que defienda la agricultura así como ""sernac"" que protege a los consumidores una organización que proteja la agricultura y no permita colusión."
2592	constitución de hoy en día es ilegítima no representa a nadie. se hizo a puertas cerradas
2593	aumentar las condiciones de vida de las personas a través de mejoras en pensiones, salud, educación, acceso a vivienda, justicia, sueldos, seguridad, etc.
2594	"- valores muy altos del costo de la energía
- fácil acceso de las comunidades a los proyectos paneles fotovoltaicos
- acceso a poder generar proyectos de energía comunitarias."
2595	mayor número de profesionales, atención digna, mejoramiento infraestructura, igualdad de acceso a la salud, pública y privada.
2596	se necesita buena formación de calidad desde pequeños para generar personas con cultura y conocimiento. sin ignorantes.
2597	"-empresarios con trabajadores
-solución repentina se ve muy lejos , nos falta como sociedad llegar a un acuerdo."
2598	mejora en la calidad de salud integral y que sea accesible para todos además de su aumento en recursos .
2599	"-mejorar la calidad de profesionales
-horas médicas mejorar la velocidad de atención las personas esperan años para acceder a su hora médica "
2600	"-las pensiones actuales son bajas.
-que se modifique expectativa de vida para el cálculo.
-que lo fondos de la cuenta de capitalización individual constituyan herencia."
2601	no se puede vivir con tanta bajas pensiones, no es justo que tengan que trabajar los adultos mayores cuando deberían estar gozando de su sueldo.
2602	"garantes de lo que necesitamos para vivir y trabajar.
protegelo de la contaminación,     con nuestro medio ambiente.
concretar nuevas ideas para salvarlo."
2603	"optimización de recursos humanos
inequidad en acceso a la salud
profesionales idóneos del área
inequidad de presupuesto que no está hecho de acuerdo a necesidades"
2604	"injusticia social garantizar la justicia para todos proteger los derechos de las personas ricos y pobres

"
2605	"• pocas horas con especialistas
• costo de los medicamentos
• largas listas de espera de consulta y para operaciones.
• mala atención y falta de etica profesional."
2606	"por que nos indigna
lista de espera
bajar lista de espera
para ejercicio
cruel y negligente"
2607	las calles en chile están en mal estado, solo para sectores con recursos si visualizan arreglos
2608	"- diferencias educ. pública vs privada
- contenidos
- acceso a ed.superior (diferencias por base)
- cultura (falta)"
2609	"acceso universal a un único sistema estatal.
valoración de los profesores tan en remuneración como reconocimiento."
2610	cambiar la forma de ver nuestros recursos y dar valor agregado. no solo extraer recursos ejem cobre y litio.
2611	"segregación-> prueba de selección educación superior 
falta oportunidades y calidad en educ. e todo nivel
estado debe supervisar que tengan mayor matricula reales y no"
2612	"en cuanto a los sueldos existe mucha desigualdad entre hombres y mujeres , sobre todo en puestos de alto cargo función de las personas en la sociedad 
las pensiones están en total desigualdad "
2613	"- Gratuita y de calidad, desde la primera infancia.
- Cambiar la mentalidad de que la educación es 1 bien de consumo.
- Que los estudiantes solo estudian que no sea necesario trabajar para financiar.
- Brecha público y privado"
2614	se exige dignidad y no mas discriminación por parte del sistema de isapres y no más lucro con la salud
2615	"se necesita educación básica de calidad, es la base de todo. 
segmentar el pago de la escolaridad según ingreso familiar. 
los altos costos de educación superior son segregantes e injustos. mejor gestón"
2616	es un sistema injusto en donde si los administradores pierden nosotros igual, a la vez que cuando ganan eso no se refleja
2617	"mejorar el acceso a la salud
-mejorar staff de médicos para agilizar las listas de espera. necesitan mejor infraestructura y medicamentos"
2618	intensificar las leyes existentes en el sentido de entregar condenas en fución del delito, sin puertas giratorias
2619	desde infraestructura, tiempo , insumos, + patologías en auge, tiempos de espera de listas , (+ recursos).
2620	necesidad de cambios en relación a las listas de espera en sector público. enfermedades y remedios no accesibles,
2621	"-la salud es muy cara y falta especialidades.
-mala atención en el sistema.
-acceso a la salud y que sea para todos.
- no existe salud de calidad"
2622	en general los participantes coinciden en que se debe mejorar el sistema de salud público, la falta de medicos e insumos es muy preocupante
2623	"mas especialistas para el cesfam.
personal que tenga la empatia y etica profesional en la atención"
2624	"-chile es un pais con muchos adultos mayores, necesitan una buena atención de salud.
-que se terminan las esperas.
-percibir un servicio de buena calidad, un trato digno."
2625	la realidad de la atención en los hospitales y/o cesfam es mala y no nos atienden bien, la calidad humana no es buena y digna.
2626	"-que el cuidado y atención hacia el adulto mayor sea mejor
-que las postas sean mas empáticos con los usuarios"
2627	"
se necesita urgente cambiar los estándares de la educación desde la preescolaridad hasta la universidad, ya que los educadores debieran tener las habilidades y las herramientas para enfrentar la educación a nivel preescolar y así sucesivamente. "
2628	- porque para la clase media y trabajadores no hay apoyos, todo se le da a los mas pobres y clase media tiene que endeudarse y tiene menos acceso a a cualquier ayuda, se le esta dando prioridad a los extraneros y no a las necesidades delos chilenos
2629	"-más justicia y mano dura.
-con los hijos no se puede ser tan estricto ahora porque nos denuncian por eso hace lo que quieren.
-que les den más poder a carabinero."
2630	"- falta de profesional especialista
- mejorar el acceso a horas médicas y cirugias- finalizar negociado
- más inclusiva, acceso a la información 
- mayor consideración alas necesidades de las personas."
2631	mejorar acceso a la salud, que sea gratuita y de calidad, mejorar el acceso y agilizar las horas medicas
2632	el acceso a una salud de calidad es para algunos, hay quienes mueren esperando listas de espera, horas, exámenes y otros. es la realidad de la mayoría de las familias en el país.
2633	"el sistema es deficiente, el trato del personal es malo. falta de vocación de los trabajadores. corrupción.
el problema no son sólo los recursos sino que también la administración."
2634	"que sea de calidad y digna
tener acceso a la salud de calidad con buenos profesionales sin tener tantos recurso"
2635	inclusión a todas las personas en sistema de salud que se acabe lista de espera y trabas. apoyo de  personas y discapacidad. salud debe ser un derecho no un comercio. falta de profesionales especialistas en enfermedades, para transplantes, cancer        del comuna. falta de etica de doctores o profe
2636	"- para mejorar el país.
- para favorecer el sistema de pensiones chilenas.
- para que la economía se movilice "
